,Author,Published,Comment,Likes,Dislikes,Article,Keyword,Year,Month,Day,Sentiment
10,'DIANA MAGALHAES,2013-01-14 01:27:03,"na boa, so se for o coração do filho do eike....huauhahuaha",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,14,1
11,'Vinicius Sequeira,2013-04-03 13:18:53,"80 mil na Alemanha... com esse valor aqui mal da pra comprar um ford fusion!!! E os nossos politicos se achando o maximo por que cortaram o IPI... Meu salario se divide assim = R$1000 pra mim. R$1500 ""pra Dilma""",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,4,3,0
12,'Patrick Mello,2013-03-22 20:06:56,"Laércio Dantas, não é tração dianteira, mas tração nas 4 rodas.No fundo, todas elas estão se convencendo de que esse sistema é o melhor para os ""pilotos de fim de semana"" que andam pelas cidades e trackdays por aí.Nisso, a Audi já está anos-luz à frente, com a Quattro.Até a Ferrari lançou a FF.Cansaram de tomar pau dos RS4 e RS6 mas largadas.Tração traseira mata muita gente, pois poucos sabem usá-la.Ainda mais se o carro for realmente forte.Esse caminho era inevitável...",1,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,3,22,-1
13,'Luh Dahora,2013-04-03 11:45:07,Muito loko esse carro.,0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,4,3,0
14,'Laercio Dantas,2013-01-18 19:25:59,"Será um excelente carro pra quem está acostumado com os asiáticos, mas Mercedes com tração dianteira não engulo.",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,18,1
15,'Luiz Farias,2013-01-14 10:49:43,Joven$ de cora$ão!!!!,0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,14,0
16,'Rafael Alegreti,2013-01-14 06:40:39,"Eu ouvi comentários que ele chegaria aqui por 90 mil mesmo, inclusive li uma matéria em outubro passado sobre isso. Se realmente chegar nesse preço, vai roubar muito cliente de outras marcas. Agora se quiser lançar com aquele ágio já conhecido aqui no Brasil, não ponho muita fé.",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,14,1
17,'Simijumurukai,2013-01-15 19:04:52,"acorda,estamos no país do futebol e das novelas ,vixiiiiiiiiiiiiiiiiiii",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,15,0
18,'Jotta Santos,2013-03-23 09:52:35,90 mil é o preço que vão cobrar pelo estepe.,0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,3,23,-1
19,'Carlos Romano,2013-01-14 01:34:28,"VAMOS VER SE ELES BAIXAM A BOLA....NO CASO DO CLASSE A (UM FIASCO TOTAL) ELES ACHARAM QUE ERA SÓ COLOCAR A ESTRELINHA DELES E QUE IRIA FORMAR UMA FILA (DO TERCEIRO MUNDO) QUERENDO SER UNGIDO PELA ESTRELINHA....RESULTADO: ACIDENTE NOS TESTES, FIASCO TOTAL E A FÁBRICA DE JUIZ DE FORA SÓ COLHENDO RESULTADO NEGATIVO COM O CLASSE A.O MUNDO MUDOU DONA MERCEDES BENZ! MAIS RESPEITO E MENOS ARROGÂNCIA!",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,14,0
20,'DIANA MAGALHAES,2013-01-14 01:27:03,"na boa, so se for o coração do filho do eike....huauhahuaha",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,1,14,1
21,'Vinicius Sequeira,2013-04-03 13:18:53,"80 mil na Alemanha... com esse valor aqui mal da pra comprar um ford fusion!!! E os nossos politicos se achando o maximo por que cortaram o IPI... Meu salario se divide assim = R$1000 pra mim. R$1500 ""pra Dilma""",0,0,"Mercedes mostra o CLA, para conquistar \'jovens de coração\'",CLA;;;;;',2013,4,3,0
22,'Julio Junior,2013-03-29 15:03:25,Lindo!,0,0,"Mercedes-Benz CLA ganha versão AMG, mais esportiva",CLA;;;;;',2013,3,29,0
23,'Carlos Peterlini,2013-03-28 10:48:39,"Othel, estou com vc e não abro...isso seria pura verdade...venderia mais do que Gol e Uno...Eu mesmo compraria uma!!!!!!!",0,0,"Mercedes-Benz CLA ganha versão AMG, mais esportiva",CLA;;;;;',2013,3,28,0
24,'Gabriel Souza,2013-03-28 09:31:03,Todo mercedes é da hora: menos o classe A que parecia o honda fit kkkkkkkkkkkkkkkkkkkk,0,0,"Mercedes-Benz CLA ganha versão AMG, mais esportiva",CLA;;;;;',2013,3,28,0
25,'Julio Junior,2013-03-29 15:03:25,Lindo!,0,0,"Mercedes-Benz CLA ganha versão AMG, mais esportiva",CLA;;;;;',2013,3,29,0
26,'Carlos Peterlini,2013-03-28 10:48:39,"Othel, estou com vc e não abro...isso seria pura verdade...venderia mais do que Gol e Uno...Eu mesmo compraria uma!!!!!!!",0,0,"Mercedes-Benz CLA ganha versão AMG, mais esportiva",CLA;;;;;',2013,3,28,0
27,'Gabriel Souza,2013-03-28 09:31:03,Todo mercedes é da hora: menos o classe A que parecia o honda fit kkkkkkkkkkkkkkkkkkkk,0,0,"Mercedes-Benz CLA ganha versão AMG, mais esportiva",CLA;;;;;',2013,3,28,0
28,'As Lima,2014-02-03 20:22:13,"`150 mil, 128 mil, é muito caro, pelo preço preferiria um ford fusion hibrid, 125 mil e ainda faz em média 16 km por litro.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,2,3,0
29,'Eduardo Gouveia,2014-04-21 09:56:41,16 km por litro... soh se for encima do guincho essa carniça de FOrd...nem faz direito 16km...,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,4,21,-1
30,'Fernando Eu,2014-09-06 13:33:40,"As Lima , a CLA custa $29.900 aqui nos USA .",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,9,6,0
31,'Ricardo Pinheiro,2014-06-03 19:02:13,O painel do Audi é muito simples!!!!,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,6,3,1
32,'Matheus Ferreira,2014-05-21 12:04:03,"O CLA está muito mais bonito. Bem diferente do design dos modelos anteriores. Já o Audi, é mais sem graça, mas o custo benefício é bem melhor... Acho que vou comprar o Audi esse ano mesmo rsrs :P",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,5,21,1
33,'José Martinez,2014-01-30 17:45:13,"Mais de 30 mil de diferença de preço, acho muita coisa.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,30,-1
34,'Carlos Eduardo,2014-05-07 23:37:14,"é um carro popular 30 mil. Pra quem tem filho, é preferível comprar o audi e comprar um carro popular(tipo HB20) pro filho ou mulher.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,5,7,1
35,'Joao Lemos,2014-04-21 18:24:36,"com todo respeito, mas a MB enlouqueceu com esse preco... muito mais caro que o proprio classe C que eh da casa... ta completamente fora do seu nicho com um preco de 150 mil reais... o A3 dentro da realidade brasileira até que tem um preco razoavel... mas nada justifica pagar 30 mil reais a mais pelo CLA sendo q o A3 eh mais potente e anda mais...",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,4,21,0
36,'Juliano Souza,2014-04-21 14:25:22,Com esse motor 1.4 120 cv e 20 mil a mais vai ficar sonhando com o civic mais 20 anos,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,4,21,0
37,'Jose Santos,2014-01-31 07:50:53,carro de pobre.,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,31,-1
38,'Eduardo Menezes,2014-04-21 11:47:12,Jose Santos Nome de pobre.,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,4,21,0
39,'Gabriel Zanon,2014-01-31 00:11:28,"Acho o CLA mais bonito que o A3, mas não é só por beleza que escolhe um carro, ficaria com o A3 sedan.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,31,1
40,'Eduardo Gouveia,2014-04-21 09:57:46,TA CEGO EM DIZER Q O MERCEDEZ EH MAIS BONITO?,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,4,21,0
41,'Eduardo Menezes,2014-04-21 11:43:50,"Eduardo Gouveia O Gabriel Zanon achou o Mercedes mais bonito (e eu tb). E o próprio jornalista que escreveu a reportagem tb, caso vc não tenha lido. Qual o problema? Todo mundo é obrigado a ter o mesmo gosto? Vc gostou mais do design do Audi, nós gostamos mais do Mercedes. Se todo mundo gostasse da mesma coisa, todos os carros seriam iguais não é mesmo?",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,4,21,1
42,'Farsa Pt,2014-01-30 22:29:25,"Não tem nem como comparar os dois,a Mb leva vantagem pelo nome que ela ja fez pelo mundo!!",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,30,1
43,'Paulo Araújo,2014-02-01 01:03:42,Ele tá falando de caminhão ou de ônibus ...que comentário infeliz!!,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,2,1,-1
44,'Eduardo Gouveia,2014-04-21 09:57:12,para de usar drogas parceiro,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,4,21,-1
45,'Laercio Dantas,2014-02-01 21:39:12,"Já que ambos vêm com tração dianteira, ficaria com o Audi, mas com essa grana melhor comprar um BMW série 1 Full, que vem + completo e com mecânica verdadeiramente clássica alemã: tração traseira e motor longitudianal.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,2,1,1
46,'Himalaya Campos,2014-04-13 01:34:04,Disse tudo!! Não entendi pq a Merc colocou tração dianteira na CLA e ainda cobra isso tudo! =/,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,4,13,1
47,'Eduardo Gouveia,2014-04-21 09:54:26,longitudiAnal se vai ver... kkk,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,4,21,0
48,'Sum Wong,2014-03-02 20:42:41,"Esses carros foram criados para pessoas que preferem pagar mais por um carro alemao com menos a oferecer apenas pelo status, essa aventura das marcas alemaes em carros que nos EUA comecam a partir de US$30.000,00 ate vem fazendo sucesso, mas ja levou fama de carro de pobre metido a besta. kkkkkkkkkkkkkk",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,3,2,-1
49,'André Mr,2014-03-17 15:49:20,"é bem isso que falasse, pois se o lixo do corolla aqui é carrão, imagina esses aí, é coisa de milionário no Brasil! Aqui estamos cercados de ignorantes, ninguém sabe de nada, porém não pode aumenta a passagem de ônibus em 0,10 se não dá treta.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,3,17,-1
50,'Rafael Ataide,2014-04-01 10:15:31,"No dia que melhorarem o serviço de transporte público a ponto de não precisarmos mais comprar carros, os preços caíram.. Duro é o conflito de interesses que não deixa isso acontecer.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,4,1,-1
51,'Carlos Silva,2014-01-30 23:11:31,"Essas marcas alemãs, aqui no Brasil, é de muito luxo. Nos demais países, são marcas como um Honda, uma kia, etc... Na Europa a maioria dos taxis são da mercedes benz. Aqui as peças são absurdamente caras desses carros, sem nada que justifique. Compre o carro aqui e as peças em Miami pela intenet. Fácil.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,30,1
52,'André Mr,2014-03-17 15:47:09,"Se Mercedes e AUDI são carros de taxista, a Honda, Kia, Toyota, vw, ford, fiat, Gm e etc devem ser dados para o povo como Bolsa carro.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,3,17,1
53,'Guy Fawkes,2014-01-31 00:38:11,E quanto custa lá fora??,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,31,0
54,'Lucas Guastaferro,2014-01-31 11:09:34,Faltou aí: na Alemanha,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,31,0
55,'Ronan Muzzi,2014-02-24 13:22:22,"A Mercedes CLA 250, que é 2.0 Turbo de uns 210 cv de potência está 29.000 DÓLARES NOS USA.... e tem tudo de direito, sensor de estacionamento etc.....",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,2,24,-1
56,'Pedro Filho,2014-02-05 09:36:38,A MB é um banho de design!,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,2,5,-1
57,'Daniel Abade,2014-02-03 22:24:44,"aff, as vezes da ate tristeza de ser brasileiro tudo e carro se e loko ta na hora de nos irmos pra rua pq os imposto do brasil e muito carro ... so de imposto vc paga mais q o carra nunca existe isso so no pais da ordem e progresso kkkkkkkkkkkkkkkkk",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,2,3,-1
58,'Caleb Yamamoto,2014-02-03 22:16:57,Esse interior do A3 nem parece ser um Audi de tão pobre.,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,2,3,-1
59,'Guilherme Araujo,2014-01-31 02:45:09,"sou mais um Mitsubishi Evo X custa R$ 119.000 ano 12 é muito mais caro, vem mais opcionais, bancos recaros, freios brembo motor de 300 cv etc etc etc,, muito mais maquinas que esses carros que todos falam que é carrão, no acho nada disso, esses 2 carros na Europa é pra classe media, no brasil ""para jovens ricos"" brincadeira isso",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,31,0
60,'Ricardo Campos,2014-01-31 08:15:06,A audi comprou toda a imparcialidade da matéria!,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,31,1
61,'Paulo Araújo,2014-02-01 01:16:26,Tá doido...ou é doente pela mercedes...seja mais racional !!,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,2,1,0
62,'Paulo Araújo,2014-02-01 01:14:29,"Mesmo que fossem o mesmo preço ainda levaria o Audi...projeto mais primoroso , carro mais leve,mais potente e trata melhor os ocupantes além de gostar mais do visual dele.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,2,1,1
63,'Brendo William,2014-01-31 05:29:40,"os dois nos eua estão por 29,900 mil dolares.. isso mas os impostos que deve ser no maximo 5% ai o preço deve subir para uns 32 a 35 mil dolares,mas e bem melhor que os preços do brasil, e lá qualquer um pode ter uma desse e só trabalhar...",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,31,1
64,'Marco Gomes,2014-01-30 23:24:08,"Prefiro o Audi, mais fácil de revender, manutenção mais acessível e, numero de concessionários maior.",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,30,1
65,'Gunnar Pereira,2014-01-30 20:36:11,É muita ostentação!!!!rsrsrsrsrsrsrs,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,30,0
66,'Critico,2014-01-30 19:47:08,carros de pobres!,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,30,-1
67,'Marcelo Barao,2014-01-30 18:16:50,"Vou optar pela Audi, vermelhão...Igual ao melhor time do Mundo, Inter..Afinal, o que é 116 mil...",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,30,1
68,'Irlan Cassimiro,2014-01-30 19:25:28,volta pra o carro de mão cara.,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,30,-1
69,'Jose Silva,2014-01-30 18:06:00,"audi mais barato,mais leve,mais potente, seria minha opção se tivesse toda essa grana.rsrs",0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,30,1
70,'Klaus,2014-01-30 17:47:27,Globo sempre atrás... A 4 Rodas já fez o teste.,0,0,Comparativo: Audi A3 Sedan x Mercedes-Benz CLA 200,CLA;;;;;',2014,1,30,1
71,'Slaf Sales,2015-11-14 18:42:33,benzeu o foguete?,8,2,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,14,0
72,'Jairo Holsback,2015-11-14 07:48:27,Mais um órgão das organizações Tabajara !!!!,12,2,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,14,0
73,'Julio Santos,2015-11-14 09:02:36,sexta feira 13,3,5,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,14,1
74,'Alim Pereira,2015-11-14 12:27:48,"Falem a verdade, explodiu tudo mas projeto fracassando é venha conhecer esse profissionais aqui na festas, eu sou de Alcântara.",0,5,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,14,-1
75,'Marlon Figueiredo,2015-11-13 19:22:41,"Uma pena! Porém o Brasil deve continuar seu desenvolvimento na tecnologia aeroespacial, pois disso também depende o progresso e a soberania de uma nação.",40,6,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,13,-1
76,'Wagner Lima,2015-11-13 21:55:05,Falem a verdade!!!!,5,2,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,13,0
77,'Julio Santos,2015-11-14 09:03:37,"não deve ter explodido, porque o alemão e o sueco desligou.",2,6,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,14,0
78,'Marlon Figueiredo,2015-11-13 19:22:41,"Uma pena! Porém o Brasil deve continuar seu desenvolvimento na tecnologia aeroespacial, pois disso também depende o progresso e a soberania de uma nação.",40,6,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,13,-1
79,'Wagner Lima,2015-11-13 21:55:05,Falem a verdade!!!!,5,2,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,13,0
80,'Julio Santos,2015-11-14 09:03:37,"não deve ter explodido, porque o alemão e o sueco desligou.",2,6,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,14,0
81,'Jairo Holsback,2015-11-14 07:48:27,Mais um órgão das organizações Tabajara !!!!,12,2,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,14,0
82,'Julio Santos,2015-11-14 09:02:36,sexta feira 13,3,5,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,14,1
83,'Alim Pereira,2015-11-14 12:27:48,"Falem a verdade, explodiu tudo mas projeto fracassando é venha conhecer esse profissionais aqui na festas, eu sou de Alcântara.",0,5,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,14,-1
84,'Slaf Sales,2015-11-14 18:42:33,benzeu o foguete?,8,2,CLA suspende lançamento de foguete no MA após falha no motor,CLA;;;;;',2015,11,14,0
85,'Davijunior,2014-01-07 23:33:34,prefiro meu celta 2007 1.0 flex motorzinho do bichão é veneno puro 160 km brincando e com ar ligado.,4,32,"Protagonista da Mercedes em 2014, CLA chega por R$ 147,5 mil",CLA;;;;;',2014,1,7,0
86,'Thiago Souto,2014-01-07 23:39:26,Putz,2,1,"Protagonista da Mercedes em 2014, CLA chega por R$ 147,5 mil",CLA;;;;;',2014,1,7,0
87,'Christian Silva,2014-01-08 02:31:17,pobre é um lixo msm,0,0,"Protagonista da Mercedes em 2014, CLA chega por R$ 147,5 mil",CLA;;;;;',2014,1,8,-1
88,'Jorge,2014-01-07 22:57:59,Absurdo um carro 1.6 de 156cv custar 147k. Só estúpido vai pagar isso.,23,17,"Protagonista da Mercedes em 2014, CLA chega por R$ 147,5 mil",CLA;;;;;',2014,1,7,-1
89,'Bruno Souza,2014-01-20 13:18:29,"Jorge Pessoal! Ponto de vista cada um tem o seu, vamos respeitar os cometários sem ofensas. Tenho uma c180 2012/2012, excelente carro, mecânica incrível e acho que a motorização é ""suficiente"", são exatamente os mesmos 156 cv com 25,5 kgfm de torque. NÃO é um super-esportivo, e claro que gostaria de ter acesso as c300 ou c350 que são vendidas lá fora, mas na boa, o conjunto da obra é fantástico (conforto + desempenho + qualidade + dirigibilidade). Fiz os testes com amigos e: fusion 2.0 240 cv não anda junto, anda na frente até os 140 km/h dos blocos v6 de SUV e do Accord/Azera/etc. (cont.)",1,0,"Protagonista da Mercedes em 2014, CLA chega por R$ 147,5 mil",CLA;;;;;',2014,1,20,1
90,'Bruno Souza,2014-01-20 13:26:53,"Jorge Em relação ao preço, concordo que está muito alto e não pago esse valor. Estive na concessionaria e me informaram que é a primeira edição e os itens adicionais que vieram no carro foram: DVD + GPS, Rodas 18 e Teto-solar. A versão de entrada vai ficar em R$125.000,00 (cla 200), a versão cla 250 (4matic) chega no meio do ano por R$160.000,00. A classe C nova chega também no meio do ano por R$145.000 (c180) com o mesmo bloco, mas 100 kg mais leve, c200 e c250 por R$165.000 e R$ 185.000,00 respectivamente. A verdade é que, na boa, depois de ter um mercedes é difícil sair da marca.",1,0,"Protagonista da Mercedes em 2014, CLA chega por R$ 147,5 mil",CLA;;;;;',2014,1,20,1
91,'Plinio Rafael,2014-01-07 20:39:06,"o Brasileiro é um povo muito lesado mesmo. O pior é que tem gente vai comprar esse carro e vai achar que é ""o grande coisa"" só porque é mercedes. mas na verdade está pagando por um carro ""superlucrado"". Um Corolla 2.0 XEI com 153 CV custa 69.900 (preço de fim de linha pois está chegando o novo). Se o Corolla tem essa motorização e ainda já conta com Lucro... imagina esse mercedez... Pagar esse valor é um atestado de T..R.oxisse.",11,4,"Protagonista da Mercedes em 2014, CLA chega por R$ 147,5 mil",CLA;;;;;',2014,1,7,-1
92,'Tim Rabey,2014-01-07 20:05:23,"1.6 e 156 cv por quase 150 conto? Peraí Mercedes, ai já é demais, pra que entrou no Inovar Auto? BMW 320i Sport Top com um 2.0T 184CV é infinitamente superior em todos os aspectos pelo mesmo preço! CLA pelo que tinha lido era para vir em um posicionamento um pouco abaixo do (novo) classe C, mas ta batendo de frente direto com BMW 320i. A própria BMW acabou de lançar a 316i com um motor semelhante ao do CLA por R$114.900,00, em minha humilde opinião esse deveria ser o valor pra poder competir em condições de igualdade.",27,2,"Protagonista da Mercedes em 2014, CLA chega por R$ 147,5 mil",CLA;;;;;',2014,1,7,1
93,'Adm 1958,2014-01-08 22:45:55,"é um preço elevado para um 1.6, mesmo sendo um Mercedes. Acredito que deverá versões menos glamourosas com preços mais condizentes! É melhor comprar um C-180 na promoção por 109 mil.",0,0,"Protagonista da Mercedes em 2014, CLA chega por R$ 147,5 mil",CLA;;;;;',2014,1,8,1
94,'Cesar Rodrigues,2014-01-08 08:24:34,Não falta muito para termos um 1.0 a R$ 120.000. KKKKKK... pior é que vai ter comprador.,19,1,"Protagonista da Mercedes em 2014, CLA chega por R$ 147,5 mil",CLA;;;;;',2014,1,8,-1
